variant,normal_score,flipped_score,antisym_score,symmetric_order_score,backbone,pair_index,dataset_index
mean_with_norm,1.1337244510650635,0.6032942533493042,0.26521509885787964,0.8685093522071838,Ouro 2.6B Thinking,42,
mean_without_norm,1.4182989597320557,0.9334060549736023,0.24244645237922668,1.175852507352829,Ouro 2.6B Thinking,42,
attention_with_norm,2.966353416442871,-0.2908426523208618,1.6285980343818665,1.3377553820610046,Ouro 2.6B Thinking,43,
attention_without_norm,2.7539780139923096,1.2956750392913818,0.7291514873504639,2.0248265266418457,Ouro 2.6B Thinking,43,
mean_with_norm,2.6416900157928467,-0.21678094565868378,1.4292354807257652,1.2124545350670815,Ouro 2.6B Thinking,43,
mean_without_norm,2.7553470134735107,0.831852912902832,0.9617470502853394,1.7935999631881714,Ouro 2.6B Thinking,43,
attention_with_norm,1.8734718561172485,0.40129441022872925,0.7360887229442596,1.137383133172989,Ouro 2.6B Thinking,44,
attention_without_norm,2.133371114730835,1.4279210567474365,0.3527250289916992,1.7806460857391357,Ouro 2.6B Thinking,44,
mean_with_norm,1.63744056224823,0.6649066209793091,0.48626697063446045,1.1511735916137695,Ouro 2.6B Thinking,44,
mean_without_norm,2.05361008644104,1.3702679872512817,0.34167104959487915,1.7119390368461609,Ouro 2.6B Thinking,44,
attention_with_norm,-0.17901696264743805,2.5553460121154785,-1.3671814873814583,1.1881645247340202,Ouro 2.6B Thinking,45,
attention_without_norm,0.9648213982582092,2.6342766284942627,-0.8347276151180267,1.799549013376236,Ouro 2.6B Thinking,45,
mean_with_norm,-0.23567257821559906,2.0865681171417236,-1.1611203476786613,0.9254477694630623,Ouro 2.6B Thinking,45,
mean_without_norm,0.19764895737171173,2.3457224369049072,-1.0740367397665977,1.2716856971383095,Ouro 2.6B Thinking,45,
attention_with_norm,0.7756683230400085,1.7212120294570923,-0.47277185320854187,1.2484401762485504,Ouro 2.6B Thinking,46,
attention_without_norm,1.6513547897338867,1.9213234186172485,-0.1349843144416809,1.7863391041755676,Ouro 2.6B Thinking,46,
mean_with_norm,-0.1000123992562294,1.998180627822876,-1.0490965135395527,0.9490841142833233,Ouro 2.6B Thinking,46,
mean_without_norm,1.1494617462158203,2.334956407546997,-0.5927473306655884,1.7422090768814087,Ouro 2.6B Thinking,46,
attention_with_norm,1.4998865127563477,1.5367491245269775,-0.01843130588531494,1.5183178186416626,Ouro 2.6B Thinking,47,
attention_without_norm,2.2951180934906006,1.7221390008926392,0.2864895462989807,2.00862854719162,Ouro 2.6B Thinking,47,
mean_with_norm,1.4733487367630005,1.3597877025604248,0.05678051710128784,1.4165682196617126,Ouro 2.6B Thinking,47,
mean_without_norm,2.2152702808380127,1.705938458442688,0.25466591119766235,1.9606043696403503,Ouro 2.6B Thinking,47,
attention_with_norm,2.2232470512390137,-0.3858276605606079,1.3045373558998108,0.9187096953392029,Ouro 2.6B Thinking,48,
attention_without_norm,2.484652042388916,0.5577796101570129,0.9634362161159515,1.5212158262729645,Ouro 2.6B Thinking,48,
mean_with_norm,1.060559868812561,0.8292103409767151,0.11567476391792297,0.9448851048946381,Ouro 2.6B Thinking,48,
mean_without_norm,1.7841331958770752,1.461129903793335,0.16150164604187012,1.622631549835205,Ouro 2.6B Thinking,48,
attention_with_norm,1.8524850606918335,0.5580569505691528,0.6472140550613403,1.2052710056304932,Ouro 2.6B Thinking,49,
attention_without_norm,2.2314987182617188,1.5400726795196533,0.3457130193710327,1.885785698890686,Ouro 2.6B Thinking,49,
mean_with_norm,1.5226037502288818,0.9040465950965881,0.30927857756614685,1.213325172662735,Ouro 2.6B Thinking,49,
mean_without_norm,2.0473880767822266,1.6541322469711304,0.1966279149055481,1.8507601618766785,Ouro 2.6B Thinking,49,
attention_with_norm,2.073699474334717,0.28050628304481506,0.8965965956449509,1.177102878689766,Ouro 2.6B Thinking,50,
attention_without_norm,2.319383382797241,1.1167213916778564,0.6013309955596924,1.7180523872375488,Ouro 2.6B Thinking,50,
mean_with_norm,0.9009671807289124,1.8560984134674072,-0.47756561636924744,1.3785327970981598,Ouro 2.6B Thinking,50,
